Quarter End Date,EBITDA (USD millions),EV (USD millions)
2025-09-30,"35,550","3,790,000"
2025-06-30,"31,032","3,060,000"
2025-03-31,"32,250","3,340,000"
2024-12-31,"45,912","3,920,000"
2024-09-30,"32,502","3,550,000"
2024-06-30,"28,202","3,300,000"
2024-03-31,"30,736","2,710,000"
2023-12-31,"43,221","3,050,000"
2023-09-30,"29,622","2,760,000"
2023-06-30,"26,050","3,130,000"
2023-03-31,"31,216","2,690,000"
2022-12-31,"38,932","2,160,000"
2022-09-30,"27,759","2,520,000"
2022-06-30,"25,881","2,380,000"
2022-03-31,"32,716","2,940,000"
2021-12-31,"44,185","2,980,000"
2021-09-30,"26,775","2,520,000"
2021-06-30,"26,958","2,300,000"
2021-03-31,"30,300","2,110,000"
2020-12-31,"36,200","2,310,000"
2020-09-30,"17,477","2,000,000"
2020-06-30,"15,843","1,610,000"
2020-03-31,"15,639","1,160,000"
2019-12-31,"28,385","1,360,000"
2019-09-30,"18,804","1,070,000"
2019-06-30,"14,477","962,510"
2019-03-31,"16,455","962,530"
2018-12-31,"26,741","809,880"
2018-09-30,"18,872","1,100,000"
2018-06-30,"15,277","986,420"
2018-03-31,"18,633","919,960"
2017-12-31,"29,019","960,210"
2017-09-30,"15,604","889,020"
2017-06-30,"13,122","838,070"
2017-03-31,"16,429","834,210"
2016-12-31,"26,346","684,970"
2016-09-30,"14,309","671,510"
2016-06-30,"12,631","575,080"
2016-03-31,"16,464","641,120"
2015-12-31,"27,125",
2015-09-30,"17,742",
2015-06-30,"17,167",
2015-03-31,"20,757",
2014-12-31,"26,821",
2014-09-30,"13,134",
2014-06-30,"12,228",
2014-03-31,"15,480",
2013-12-31,"19,607",
2013-09-30,"11,813",
2013-06-30,"10,895",
2013-03-31,"14,250",
2012-12-31,"18,798",
2012-09-30,"11,925",
2012-06-30,"12,408",
2012-03-31,"16,124",
2011-12-31,"18,061",
2011-09-30,"9,253",
2011-06-30,"9,860",
2011-03-31,"8,308",
2010-12-31,"8,183",