date,sentiment_score
2010-01-01,0.300938
2010-01-01,0.433743
2010-01-01,0.253912
2010-01-01,0.001
2010-01-01,0.326423
2010-01-01,0.45105
2010-01-01,0.208679
2010-01-01,0.300186
2010-01-01,0.332123
2010-01-01,0.049078
2010-01-01,0.031031
2010-01-01,0.244775
2010-01-01,0.434976
2010-01-01,0.001
2010-01-01,0.301532
2010-01-01,0.135316
2010-01-01,0.001
2010-01-01,0.445104
2010-01-01,0.149798
2010-01-01,0.001
2010-01-01,0.315114
2010-01-01,0.126222
2010-01-01,0.001
2010-01-01,0.001
2010-01-01,0.31938
2010-01-01,0.484679
2010-01-01,0.833936
2010-01-01,0.036077
2010-01-01,0.343
2010-01-01,0.074263
2010-01-01,0.516354
2010-01-01,0.297738
2010-01-01,0.216664
2010-01-01,0.225165
2010-01-01,0.0349
2010-01-01,0.039457
2010-01-01,0.745041
2010-01-01,0.048299
2010-01-01,0.149956
2010-01-01,0.001
2010-01-01,0.001
2010-01-05,0.128999
2010-01-05,0.001
2010-01-05,0.465619
2010-01-06,0.137764
2010-01-07,0.317201
2010-01-07,0.30377
2010-01-21,0.100315
2010-01-25,0.737967
2010-01-26,0.439101
2010-01-01,0.300938
2010-01-01,0.433743
2010-01-01,0.253912
2010-01-01,0.001
2010-01-01,0.326423
2010-01-01,0.45105
2010-01-01,0.208679
2010-01-01,0.300186
2010-01-01,0.332123
2010-01-01,0.049078
2010-01-01,0.031031
2010-01-01,0.244775
2010-01-01,0.434976
2010-01-01,0.001
2010-01-01,0.301532
2010-01-01,0.135316
2010-01-01,0.001
2010-01-01,0.445104
2010-01-01,0.149798
2010-01-01,0.001
2010-01-01,0.315114
2010-01-01,0.126222
2010-01-01,0.001
2010-01-01,0.001
2010-01-01,0.31938
2010-01-01,0.484679
2010-01-01,0.833936
2010-01-01,0.036077
2010-01-01,0.343
2010-01-01,0.074263
2010-01-01,0.516354
2010-01-01,0.297738
2010-01-01,0.216664
2010-01-01,0.225165
2010-01-01,0.0349
2010-01-01,0.039457
2010-01-01,0.745041
2010-01-01,0.048299
2010-01-01,0.149956
2010-01-01,0.001
2010-01-01,0.001
2010-01-05,0.128999
2010-01-05,0.001
2010-01-05,0.465619
2010-01-06,0.137764
2010-01-07,0.317201
2010-01-07,0.30377
2010-01-21,0.100315
2010-01-25,0.737967
2010-01-26,0.439101
2010-01-01,0.300938
2010-01-01,0.433743
2010-01-01,0.253912
2010-01-01,0.001
2010-01-01,0.326423
2010-01-01,0.45105
2010-01-01,0.208679
2010-01-01,0.300186
2010-01-01,0.332123
2010-01-01,0.049078
2010-01-01,0.031031
2010-01-01,0.244775
2010-01-01,0.434976
2010-01-01,0.001
2010-01-01,0.301532
2010-01-01,0.135316
2010-01-01,0.001
2010-01-01,0.445104
2010-01-01,0.149798
2010-01-01,0.001
2010-01-01,0.315114
2010-01-01,0.126222
2010-01-01,0.001
2010-01-01,0.001
2010-01-01,0.31938
2010-01-01,0.484679
2010-01-01,0.833936
2010-01-01,0.036077
2010-01-01,0.343
2010-01-01,0.074263
2010-01-01,0.516354
2010-01-01,0.297738
2010-01-01,0.216664
2010-01-01,0.225165
2010-01-01,0.0349
2010-01-01,0.039457
2010-01-01,0.745041
2010-01-01,0.048299
2010-01-01,0.149956
2010-01-01,0.001
2010-01-01,0.001
2010-01-05,0.128999
2010-01-05,0.001
2010-01-05,0.465619
2010-01-06,0.137764
2010-01-07,0.317201
2010-01-07,0.30377
2010-01-21,0.100315
2010-01-25,0.737967
2010-01-26,0.439101
2010-01-01,0.300938
2010-01-01,0.433743
2010-01-01,0.253912
2010-01-01,0.001
2010-01-01,0.326423
2010-01-01,0.45105
2010-01-01,0.208679
2010-01-01,0.300186
2010-01-01,0.332123
2010-01-01,0.049078
2010-01-01,0.031031
2010-01-01,0.244775
2010-01-01,0.434976
2010-01-01,0.001
2010-01-01,0.301532
2010-01-01,0.135316
2010-01-01,0.001
2010-01-01,0.445104
2010-01-01,0.149798
2010-01-01,0.001
2010-01-01,0.315114
2010-01-01,0.126222
2010-01-01,0.001
2010-01-01,0.001
2010-01-01,0.31938
2010-01-01,0.484679
2010-01-01,0.833936
2010-01-01,0.036077
2010-01-01,0.343
2010-01-01,0.074263
2010-01-01,0.516354
2010-01-01,0.297738
2010-01-01,0.216664
2010-01-01,0.225165
2010-01-01,0.0349
2010-01-01,0.039457
2010-01-01,0.745041
2010-01-01,0.048299
2010-01-01,0.149956
2010-01-01,0.001
2010-01-01,0.001
2010-01-05,0.128999
2010-01-05,0.001
2010-01-05,0.465619
2010-01-06,0.137764
2010-01-07,0.317201
2010-01-07,0.30377
2010-01-21,0.100315
2010-01-25,0.737967
2010-01-26,0.439101
2010-01-01,0.300938
2010-01-01,0.433743
2010-01-01,0.253912
2010-01-01,0.001
2010-01-01,0.326423
2010-01-01,0.45105
2010-01-01,0.208679
2010-01-01,0.300186
2010-01-01,0.332123
2010-01-01,0.049078
2010-01-01,0.031031
2010-01-01,0.244775
2010-01-01,0.434976
2010-01-01,0.001
2010-01-01,0.301532
2010-01-01,0.135316
2010-01-01,0.001
2010-01-01,0.445104
2010-01-01,0.149798
2010-01-01,0.001
2010-01-01,0.315114
2010-01-01,0.126222
2010-01-01,0.001
2010-01-01,0.001
2010-01-01,0.31938
2010-01-01,0.484679
2010-01-01,0.833936
2010-01-01,0.036077
2010-01-01,0.343
2010-01-01,0.074263
2010-01-01,0.516354
2010-01-01,0.297738
2010-01-01,0.216664
2010-01-01,0.225165
2010-01-01,0.0349
2010-01-01,0.039457
2010-01-01,0.745041
2010-01-01,0.048299
2010-01-01,0.149956
2010-01-01,0.001
2010-01-01,0.001
2010-01-05,0.128999
2010-01-05,0.001
2010-01-05,0.465619
2010-01-06,0.137764
2010-01-07,0.317201
2010-01-07,0.30377
2010-01-21,0.100315
2010-01-25,0.737967
2010-01-26,0.439101
2010-01-01,0.300938
2010-01-01,0.433743
2010-01-01,0.253912
2010-01-01,0.001
2010-01-01,0.326423
2010-01-01,0.45105
2010-01-01,0.208679
2010-01-01,0.300186
2010-01-01,0.332123
2010-01-01,0.049078
2010-01-01,0.031031
2010-01-01,0.244775
2010-01-01,0.434976
2010-01-01,0.001
2010-01-01,0.301532
2010-01-01,0.135316
2010-01-01,0.001
2010-01-01,0.445104
2010-01-01,0.149798
2010-01-01,0.001
2010-01-01,0.315114
2010-01-01,0.126222
2010-01-01,0.001
2010-01-01,0.001
2010-01-01,0.31938
2010-01-01,0.484679
2010-01-01,0.833936
2010-01-01,0.036077
2010-01-01,0.343
2010-01-01,0.074263
2010-01-01,0.516354
2010-01-01,0.297738
2010-01-01,0.216664
2010-01-01,0.225165
2010-01-01,0.0349
2010-01-01,0.039457
2010-01-01,0.745041
2010-01-01,0.048299
2010-01-01,0.149956
2010-01-01,0.001
2010-01-01,0.001
2010-01-05,0.128999
2010-01-05,0.001
2010-01-05,0.465619
2010-01-06,0.137764
2010-01-07,0.317201
2010-01-07,0.30377
2010-01-21,0.100315
2010-01-25,0.737967
2010-01-26,0.439101
2010-01-01,0.300938
2010-01-01,0.433743
2010-01-01,0.253912
2010-01-01,0.001
2010-01-01,0.326423
2010-01-01,0.45105
2010-01-01,0.208679
2010-01-01,0.300186
2010-01-01,0.332123
2010-01-01,0.049078
2010-01-01,0.031031
2010-01-01,0.244775
2010-01-01,0.434976
2010-01-01,0.001
2010-01-01,0.301532
2010-01-01,0.135316
2010-01-01,0.001
2010-01-01,0.445104
2010-01-01,0.149798
2010-01-01,0.001
2010-01-01,0.315114
2010-01-01,0.126222
2010-01-01,0.001
2010-01-01,0.001
2010-01-01,0.31938
2010-01-01,0.484679
2010-01-01,0.833936
2010-01-01,0.036077
2010-01-01,0.343
2010-01-01,0.074263
2010-01-01,0.516354
2010-01-01,0.297738
2010-01-01,0.216664
2010-01-01,0.225165
2010-01-01,0.0349
2010-01-01,0.039457
2010-01-01,0.745041
2010-01-01,0.048299
2010-01-01,0.149956
2010-01-01,0.001
2010-01-01,0.001
2010-01-05,0.128999
2010-01-05,0.001
2010-01-05,0.465619
2010-01-06,0.137764
2010-01-07,0.317201
2010-01-07,0.30377
2010-01-21,0.100315
2010-01-25,0.737967
2010-01-26,0.439101
2010-01-01,0.300938
2010-01-01,0.433743
2010-01-01,0.253912
2010-01-01,0.001
2010-01-01,0.326423
2010-01-01,0.45105
2010-01-01,0.208679
2010-01-01,0.300186
2010-01-01,0.332123
2010-01-01,0.049078
2010-01-01,0.031031
2010-01-01,0.244775
2010-01-01,0.434976
2010-01-01,0.001
2010-01-01,0.301532
2010-01-01,0.135316
2010-01-01,0.001
2010-01-01,0.445104
2010-01-01,0.149798
2010-01-01,0.001
2010-01-01,0.315114
2010-01-01,0.126222
2010-01-01,0.001
2010-01-01,0.001
2010-01-01,0.31938
2010-01-01,0.484679
2010-01-01,0.833936
2010-01-01,0.036077
2010-01-01,0.343
2010-01-01,0.074263
2010-01-01,0.516354
2010-01-01,0.297738
2010-01-01,0.216664
2010-01-01,0.225165
2010-01-01,0.0349
2010-01-01,0.039457
2010-01-01,0.745041
2010-01-01,0.048299
2010-01-01,0.149956
2010-01-01,0.001
2010-01-01,0.001
2010-01-05,0.128999
2010-01-05,0.001
2010-01-05,0.465619
2010-01-06,0.137764
2010-01-07,0.317201
2010-01-07,0.30377
2010-01-21,0.100315
2010-01-25,0.737967
2010-01-26,0.439101
